Watching for file changes with StatReloader
[02/May/2026 19:44:16] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:44:16] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:44:23] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:44:53] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:45:12] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:45:12] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:45:12] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:45:12] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:45:13] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:45:13] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:45:14] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:45:14] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:45:15] "GET /api/v1/leaves/types/ HTTP/1.1" 200 1029
[02/May/2026 19:45:15] "GET /api/v1/leaves/types/ HTTP/1.1" 200 1029
[02/May/2026 19:45:15] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:45:15] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:45:16] "GET /api/v1/leaves/types/ HTTP/1.1" 200 1029
[02/May/2026 19:45:16] "GET /api/v1/leaves/types/ HTTP/1.1" 200 1029
[02/May/2026 19:45:22] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:45:22] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:45:23] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:45:24] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:45:24] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:45:24] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:45:24] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:45:25] "GET /api/v1/certificates/missions/ HTTP/1.1" 200 52
[02/May/2026 19:45:25] "GET /api/v1/certificates/missions/ HTTP/1.1" 200 52
[02/May/2026 19:45:26] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:45:26] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:45:26] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:45:26] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:45:26] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:45:26] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:45:27] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:45:27] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:45:27] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:45:28] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:45:29] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:45:29] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:45:29] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:45:29] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:45:30] "GET /api/v1/leaves/types/ HTTP/1.1" 200 1029
[02/May/2026 19:45:30] "GET /api/v1/leaves/types/ HTTP/1.1" 200 1029
[02/May/2026 19:45:40] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:45:40] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:45:53] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:46:23] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:46:53] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:47:23] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:47:39] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:47:39] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:47:43] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:47:43] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:47:43] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:47:43] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:47:44] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:47:44] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
